Stroke type,0,1,2,3,4,5,6
pre_stroke_nlvo,0.5828810000000001,0.16253800000000002,0.10344000000000002,0.10222300000000001,0.04197300000000001,0.006945000000000001,0.0
pre_stroke_nlvo_ivt_deaths,0.576469309,0.16075008200000002,0.10230216000000002,0.10109854700000001,0.04151129700000001,0.006868605000000001,0.011
pre_stroke_lvo,0.417894,0.142959,0.11843,0.164211,0.113775,0.042731,0.0
pre_stroke_lvo_ivt_deaths,0.4036438146,0.1380840981,0.11439153699999999,0.1586114049,0.1098952725,0.041273872899999994,0.0341
pre_stroke_lvo_mt_deaths,0.40284981599999997,0.137812476,0.11416652,0.15829940399999998,0.1096791,0.041192684,0.036
no_treatment_nlvo,0.19714427412082952,0.2628557258791704,0.12003201082055907,0.12773624887285845,0.1479089269612264,0.062024797114517596,0.08229801623083866
no_effect_nlvo_ivt_deaths,0.19727076182924358,0.2627292381707564,0.1175832153064482,0.12466915871042529,0.14299115255004913,0.059210682368912596,0.09554579106416493
t0_treatment_nlvo_ivt,0.4298077167171813,0.20019228328281855,0.10821237226143121,0.11021488847947919,0.08076038513772062,0.02711280811625924,0.04369954600510973
no_treatment_lvo,0.05,0.079,0.136,0.164,0.247,0.135,0.189
no_effect_lvo_ivt_deaths,0.047897657213316895,0.07567829839704068,0.13028162762022194,0.15710431565967942,0.23661442663378543,0.1293236744759556,0.2231
no_effect_lvo_mt_deaths,0.04778051787916153,0.07549321824907522,0.12996300863131938,0.1567200986436498,0.23603575832305795,0.12900739827373614,0.225
t0_treatment_lvo_ivt,0.1129160307079462,0.08708396929205377,0.12737745613345558,0.1573797606338057,0.2134544483140804,0.11323114679540845,0.18855718812324987
t0_treatment_lvo_mt,0.31408249146979034,0.1222326615622688,0.11811564215782984,0.15790457766091243,0.14126826458076447,0.06314636256843403,0.08324999999999999
